DisplayName,AttachmentType,GunType,AmmoType,MagazineType,MaxAmmo,MinDamage,MaxDamage,HitChance,CriticalChance,CritDmgMultiplier,ProjectileCount,PiercingBullets,MaxHitCount,JamGunChance,AimingTime,ReloadTime,SoundRadius,MinRange,MaxRange,Weight,AimingPerkHitChanceModifier,AimingPerkCritModifier,ConditionMax,ConditionLowerChanceOneIn,PushBackMod,KnockdownMod,BaseID,AttachmentsList,FromMod
Cricket 22 (My 1st Rifle),Rifle,Rifle,Bullets22,,1,0.3,0.5,41,5,2,1,,1,0.05,22,30,22,0.61,14,1.8,16,4,50,60,0.1,0,Cricket_22,Bipod;Bipod_OPEN;Sling_1;Sling_2;Sling_3;ForeGrip;Grip_Magpul;Grip_MLOK;Grip_TG;Grip_BCM;Grip_Fold;Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Light_Medium_M900;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;Compensator_CZ;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Scope_4xPSO;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Scope_12xPSO;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Pad;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 22LR.txt
ArmaLite AR-7,Rifle,Rifle,Bullets22,22Clip,10,0.3,0.5,41,5,2,1,,1,0.1,22,30,22,0.61,14,1.8,16,4,50,60,0.1,0,AR7,Bipod;Bipod_OPEN;Sling_1;Sling_2;Sling_3;ForeGrip;Grip_Magpul;Grip_MLOK;Grip_TG;Grip_BCM;Grip_Fold;Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Light_Medium_M900;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;Compensator_CZ;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Scope_4xPSO;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Scope_12xPSO;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Pad;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 22LR.txt
ArmaLite AR-7 (Taken-Down),Rifle,Rifle,Bullets22,22Clip,10,0.2,0.4,,0,2,,,1,,,,,0.61,0.8,1,,,50,5,0.3,0,AR7_Fold,,ARSENAL-26-GunFighter: 22LR.txt
Ruger Mark4,Holster,Handgun,Bullets22,22Clip,10,0.3,0.5,29,5,2,1,,1,0.1,15,30,22,0.61,12,1.7,14,4,50,60,0.1,0,Ruger_MK4,Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Light_Small_Socom;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_Socom_ON;Light_Small_TLR_7AH;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;Compensator_CZ;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Light_Medium_SureFire_M952V;Laser_Light_Small_LAM;Suppressor_SOCOM_Pistol;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 22LR.txt
Ruger Mark4 (22/45),Holster,Handgun,Bullets22,22Clip,10,0.3,0.5,29,5,2,1,,1,0.1,15,30,22,0.61,12,1.7,14,4,50,60,0.1,0,Ruger_MK4_2245,Light_Medium_M952V;Light_Small_Socom;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_Socom_ON;Light_Small_TLR_7AH;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Compensator_CZ;Sight_OKP7_Reflex;Scope_TANGO6T_1;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Armasight_NV;Sight_Burris_NV;Grip_G10_Blue;Grip_G10_Green;Grip_G10_Red;Grip_G10_Pink;Grip_G10_Brown;Grip_G10_Black;Grip_Alloy_Black;Grip_Alloy_Silver;Grip_Alloy_Blue;Grip_Alloy_Red;Grip_Wood;Grip_Punisher;Grip_Spartan;Grip_Carbon;Grip_Ivory,ARSENAL(26)GunFighter[MOD 2.0]: 22LR.txt
Browning Buckmark,Holster,Handgun,Bullets22,22Clip,10,0.3,0.5,29,5,2,1,,1,0.1,15,30,22,0.61,12,1.7,14,4,50,60,0.1,0,Buckmark,Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Light_Small_Socom;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_Socom_ON;Light_Small_TLR_7AH;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;Compensator_CZ;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Grip_G10_Blue;Grip_G10_Green;Grip_G10_Red;Grip_G10_Pink;Grip_G10_Brown;Grip_G10_Black;Grip_Alloy_Black;Grip_Alloy_Silver;Grip_Alloy_Blue;Grip_Alloy_Red;Grip_Wood;Grip_Punisher;Grip_Spartan;Grip_Carbon;Grip_Ivory;Light_Medium_SureFire_M952V;Laser_Light_Small_LAM;Suppressor_SOCOM_Pistol;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 22LR.txt
Browning Buckmark Silhouette,Holster,Handgun,Bullets22,22Clip,10,0.3,0.5,31,5,2,1,,1,0.1,15,30,22,0.61,13,1.8,14,4,50,60,0.1,0,Buckmark_Long,Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Light_Small_Socom;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_Socom_ON;Light_Small_TLR_7AH;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;Compensator_CZ;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Grip_G10_Blue;Grip_G10_Green;Grip_G10_Red;Grip_G10_Pink;Grip_G10_Brown;Grip_G10_Black;Grip_Alloy_Black;Grip_Alloy_Silver;Grip_Alloy_Blue;Grip_Alloy_Red;Grip_Wood;Grip_Punisher;Grip_Spartan;Grip_Carbon;Grip_Ivory;Light_Medium_SureFire_M952V;Laser_Light_Small_LAM;Suppressor_SOCOM_Pistol;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 22LR.txt
Browning Buckmark Carbine,Rifle,Rifle,Bullets22,22Clip,10,0.3,0.5,42,5,2,1,,1,0.1,22,30,22,0.61,14,2.7,16,4,50,60,0.1,0,Buckmark_Carbine,Sling_1;Sling_2;ForeGrip;Grip_Magpul;Grip_MLOK;Grip_TG;Grip_BCM;Grip_Fold;Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Light_Small_Socom;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_Socom_ON;Light_Small_TLR_7AH;Light_Medium_M900;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;Compensator_CZ;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Pad;Grip_G10_Blue;Grip_G10_Green;Grip_G10_Red;Grip_G10_Pink;Grip_G10_Brown;Grip_G10_Black;Grip_Alloy_Black;Grip_Alloy_Silver;Grip_Alloy_Blue;Grip_Alloy_Red;Grip_Wood;Grip_Punisher;Grip_Spartan;Grip_Carbon;Grip_Ivory;Light_Medium_SureFire_M952V;Laser_Light_Small_LAM;Suppressor_SOCOM_Pistol;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 22LR.txt
KEL-TEC CP-33,Holster,Handgun,Bullets22,CP33Clip,33,0.3,0.5,29,5,2,1,,1,0.1,15,30,22,0.61,12,1.5,14,4,50,60,0.1,0,CP33,Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Light_Small_Socom;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_Socom_ON;Light_Small_TLR_7AH;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;Compensator_CZ;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Light_Medium_SureFire_M952V;Laser_Light_Small_LAM;Suppressor_SOCOM_Pistol;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 22LR.txt
American-180,Rifle,Rifle,Bullets22,22Drum,100,0.1,0.3,42,5,2,1,,1,0.1,22,30,22,0.61,14,2.8,16,4,50,60,0,0,American180,Bipod;Bipod_OPEN;Sling_1;Sling_2;Sling_3;ForeGrip;Grip_Magpul;Grip_MLOK;Grip_TG;Grip_BCM;Grip_Fold;Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Light_Medium_M900;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;Compensator_CZ;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Scope_4xPSO;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Scope_12xPSO;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Pad;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 22LR.txt
USFA ZiP .22,Holster,Handgun,Bullets22,22Clip,10,0.1,0.3,28,5,2,1,,1,0.5,15,30,22,0.61,11.5,1.3,14,4,50,60,0,0,ZIP22,Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Light_Small_Socom;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_Socom_ON;Light_Small_TLR_7AH;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;Compensator_CZ;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Light_Medium_SureFire_M952V;Laser_Light_Small_LAM;Suppressor_SOCOM_Pistol,ARSENAL-26-GunFighter: 22LR.txt
Interdynamic KG-9,Holster,Handgun,Bullets9mm,9mmClip,15,1,1.4,28,15,4,1,,1,0.08,15,25,40,0.61,15,2.2,14,10,50,60,0.3,2,KG9,Sling_1;ForeGrip;Grip_Magpul;Grip_MLOK;Grip_TG;Grip_BCM;Grip_Fold;Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Light_Medium_M900;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;Compensator_CZ;MuzzleBrake;MuzzleBrake_DK1;MuzzleBrake_DK2;LinearComp_Noveske;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Scope_4xPSO;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Scope_12xPSO;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 2_SMG.txt
Thompson M1,Rifle,Rifle,Bullets45,45DSClip,13,1.2,1.6,37,20,4,1,,1,0.08,21,25,43,0.61,15,4.2,15,10,50,60,0.3,2,Thompson,Sling_1;Sling_2;Sling_3;ForeGrip;Grip_Magpul;Grip_MLOK;Grip_TG;Grip_BCM;Grip_Fold;Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Light_Medium_M900;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;Compensator_CZ;MuzzleBrake;MuzzleBrake_DK1;MuzzleBrake_DK2;LinearComp_Noveske;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Scope_4xPSO;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Scope_12xPSO;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Pad;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 2_SMG.txt
Thompson 1928,Rifle,Rifle,Bullets45,45DSClip,13,1.2,1.6,37,20,4,1,,1,0.08,21,25,43,0.61,15,4.5,15,10,50,60,0.3,2,Thompson_1928,Sling_1;Sling_2;Sling_3;ForeGrip;Grip_Magpul;Grip_MLOK;Grip_TG;Grip_BCM;Grip_Fold;Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;Compensator_CZ;MuzzleBrake;MuzzleBrake_DK1;MuzzleBrake_DK2;LinearComp_Noveske;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Scope_4xPSO;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Scope_12xPSO;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Pad;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 2_SMG.txt
M2 Hyde,Rifle,Rifle,Bullets45,45DSClip,13,1.2,1.6,36,20,4,1,,1,0.08,21,25,43,0.61,15,4.0,15,10,50,60,0.3,2,M2Hyde,Bipod;Bipod_OPEN;Sling_1;Sling_2;Sling_3;ForeGrip;Grip_Magpul;Grip_MLOK;Grip_TG;Grip_BCM;Grip_Fold;Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Light_Medium_M900;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;Compensator_CZ;MuzzleBrake;MuzzleBrake_DK1;MuzzleBrake_DK2;LinearComp_Noveske;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Scope_4xPSO;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Scope_12xPSO;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Pad;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 2_SMG.txt
